Emotion,Text
neutral," My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . "
neutral, You said she used to ? How did you stop her ? 
neutral," We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . "
neutral,How are Zina's new programmers working out ? 
neutral," I hate to admit it , but they're good . And fast . The Filipino kid is a genius . "
neutral," So you'll make the Stars.com deadline , and have us up and running next week ? "
neutral," It'll be close , but we'll make it . "
neutral," Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . "
neutral," And if we don't need them , we won't need Zina , either . "
neutral,Do you like cooking ? 
neutral, Why do you like it ? 
neutral, I have no idea . I like cooking by myself . I like to taste delicious food . 
neutral," And I love trying new recipes , which I usually test with my friends . You can come , too . "
neutral, Certainly . 
neutral,Anyone home ? Jen ! 
neutral, I'm in the kitchen ... let yourself in ! 
neutral, Wow ! You're really working up a storm ! 
neutral, I know . I've even worked up a sweat . 
neutral, You look like a cooking show host--only messier . 
neutral, How was it ? 
neutral, Like what ? 
neutral," I went sailing , fishing , and horseback riding . "
neutral, I ' m so jealous . 
neutral,"Diana , do you like the perfume I gave you ? "
neutral," It ' s good . But to tell you the truth , I don ' t wear perfume . "
neutral, I ' m sorry . I didn ' t know that . 
neutral,"Ah , ah , ah ... "
neutral," All right , Bill.Here ' s your daily exercise schedule . You are to jog before breakfast . "
neutral, Jog ? 
neutral," Then , you are to walk to work . "
neutral, Walk ? 
neutral, Thirty minutes in gym at lunch time . 
neutral, Oh no . 
neutral," Use the stairs , never the elevator . "
neutral," Oh , dear . "
neutral," And three times a week , you can either swim , play racketball , or hand ball . "
neutral, Oh no . 
neutral," OK , you can stop now.It ' s time for the dance class . "
neutral, Dance class ! I don't know how . 
neutral, You will . 
neutral, Oh ... 
neutral,"Hi Bill , I saw your grandma yesterday . "
neutral, Oh where was that ? 
neutral, I was running around the track at my college and there she was walking around the same track . 
neutral, Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods . 
neutral," Well , it pays off for her.How old is she anyway ? "
neutral, She will be 86 next month . 
neutral,I would like to register for a class today . 
neutral," No problem , what class would you like to take ? "
neutral, I would very much enjoy taking a Psychology class.Because I'm crazy . 
neutral, There are two classes that are still open . 
neutral, Which days are these classes on ? 
neutral, The first class is a Tuesday and Thursday class from two to three . 
neutral, What about the other class ? 
neutral, The other class is on Monday and Wednesday from 10 am - 12 . 
neutral, Are you sure there are no more open classes ? 
neutral, I'm positive . 
neutral, Sign me up for Monday and Wednesday . 
neutral," Okay , I'll sign you up . "
neutral,"Dad , why are you taping the windows ? "
neutral," Honey , a typhoon is coming . "
neutral," Jenny , come and help , we need to prepare more food . "
neutral, OK . Dad ! I'm coming . 
neutral,"Hi , my name is Lean , and I'm from Russia . "
neutral," Nice to meet you , Lean . My name is Alike . I'm from Japan . "
neutral, To me English is a difficult language . 
neutral, A second language is always difficult . 
neutral," True , but English is harder than most . It's a crazy language . "
neutral, One letter can have several pronunciations and one word can have several meanings . 
neutral, No wonder you say English is a crazy language . 
neutral,Can I help you ? 
neutral," I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . "
neutral, I'll certainly try to help you . What topic is your paper on ? 
neutral, My paper is on the influence of television on children . 
neutral, There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . 
neutral,Here ' s your hot dog and beer . What happened ? Did I miss anything ? 
neutral," Yeah , Cal Ripen just hit a home run . "
neutral, What ' s the score ? 
neutral," Well it was 3 to 4 , but Ripen ' s home run made it 5 to 4 since another player was on first base . "
neutral, So Baltimore is winning ? 
neutral,Do you have a light ? 
neutral," Sorry , I don't smoke . "
neutral,Excuse me . Could you please take a picture of us with this camera ? 
neutral, This one . 
neutral, Do I have to focus it ? 
neutral," No , this is a focus-free camera . All you have to do is point and press the button . "
neutral,Every country should face the history . 
neutral," Yeah , we don ' t live in the vacuum . We have traditional values and long but different history . "
neutral," Sometimes , we , human beings , really had done something wrong , so we should admit it at first . "
neutral, But there is always somebody who wants to turn his back on the true history . 
neutral," I believe such things won ' t be realized , just daydreaming . "
neutral,"Do you like traveling , Kathy ? "
neutral," I like traveling for pleasure to get places for vacation for instance . But I don ' t like traveling to work , waiting for buses , or ... "
neutral, Or getting stuck in traffic jams when you ' re driving . 
neutral, Exactly . 
neutral,Your house is too small . Why not buy a big one . 
neutral, I do wish I could afford one . 
neutral, You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases . 
neutral, Of course I know that . But don't you notice that the house price is skyrocketing ? 
neutral,"How do you do , Prof.Smith . "
neutral, Where did you learn it ? 
neutral," At school , in China.This is my first time to be out of my own country . "
neutral,Do you want black or white coffee ? 
neutral," White , please "
neutral, Look ! there's a Folk concert tomorrow evening . Do you Want to go ? 
neutral, I don't like Folk music very much . 
neutral, What kind of music do you like ? 
neutral, I like classical music . Do you ? 
neutral, Not very much . Classical music sends me to sleep 
neutral, I don't believe you . 
neutral, It ' s true . 
neutral, You are funny ! 
neutral, So are you ! How about another coffee ? 
neutral,What do you like to do in your spare time ? 
neutral, I like playing chess . 
neutral, Do you have any hobbies besides playing chess ? 
neutral, I'm afraid not . 
neutral, Do you have any hobbies like playing tennis or things like that ? 
neutral," Oh , yes . I like playing basketball . "
neutral, Can you tell me why you like it ? 
neutral, Because I like the feeling of cooperating with others . 
neutral,Where is John ? I can't find him anywhere . 
neutral, Haven't you heard that he is in prison ? 
neutral, John is in prison now . He was copped outstealing . 
neutral,Can I help you ? 
neutral," I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . "
neutral, I'll certainly try to help you.What topic is your paper on ? 
neutral, My paper is on the influence of television on children . 
neutral, There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . 
neutral,"Hey , Ted . What are you up to this Friday ? "
neutral," Well , I have the day off from work . "
neutral," Well , I ' Ve been working so hard lately , so I ' ll probably just take it easy . "
neutral," Yeah , I ' ll probably just stay in and relax . Maybe watch a few movies . "
neutral, Can I stop by ? 
neutral, Sure . Any time . 
neutral,You honestly believe the world ' s improving every year ? 
neutral," Yes , I do . I think that science is making us wiser . What do you think ? "
neutral, I don ' t think you ' re right there . 
neutral, I believe industry is making us wealthier . 
neutral, I don ' t believe that . 
neutral," And in my opinion , medicine is making us healthier . "
neutral," I agree with you in the sense . But we ' re all more miserable than ever , aren ' t we ? "
neutral," I don ' t agree with you . I maintain that we ' re healthier , wealthier and wiser than we were a hundred years ago . "
neutral, That ' s your opinion not mine . 
neutral,What do you plan to do for your birthday ? 
neutral," I want to have a picnic with my friends , Mum . "
neutral,How may I help you ? 
neutral, I would like to return this book . 
neutral, Is that all you need ? 
neutral, I also want to check out this video . 
neutral, Is that all you would like to check out ? 
neutral, That ' s all I need . 
neutral, Do you have your library card ? 
neutral, Here it is . 
neutral, Make sure to take proper care of this video . 
neutral, That won ' t be a problem . 
neutral," If you damage the video , you will be fined . "
neutral, I won ' t damage it . 
neutral,What's the matter with you then ? You look miserable . 
neutral, It's us . 
neutral, What do you mean by us . 
neutral," Well , you always say you're busy . "
neutral, That's right . 
neutral, And you often go back to live with your parents and leave our son in the room by himself . 
neutral," I ... I ... I miss my parents , also they miss me . "
neutral," Oh I remember , I cut terrible calls , and you didn't say anything about it . "
neutral, You mean I am groaned a few words ? 
neutral, Totally not . Perhaps it's about our marriage . 
neutral,"Hi , Mary . You look pale today . What's the matter with you ? "
neutral, I think I've caught a cold . Now I'm aching all over . 
neutral, You'd better take some medicine and have a good rest . I hope you'll be yourself pretty soon . 
neutral, Thank you . I suppose I should go to see a doctor . 
neutral,"Could you tell me the right time , please ? "
neutral, Well . My watch says five past two . But it ' s no use rely on it because it has been gaining and losing these last a few days . 
neutral, You have to go and fix it . 
neutral, Yes . I will . 
neutral,does your family have a record of your ancestors ? 
neutral, sure . My mom has been working on our family tree for years . She ' s always updating it . 
neutral, do you have a copy of your family tree in your house ? I ' d love to see it . 
neutral," I can show it to you now , if you like . I think it goes back about 8 generations so far . "
neutral, that ' s amazing . Do you have a large extended family ? 
neutral, I ' Ve got 30 cousins on my mom ' s side and 10 cousins on my dad ' s side . 
neutral, are you very close to your first-cousins ? 
neutral," the ones that are my age are close relatives . Now that I ' m older , I don ' t spend as much time with them as I used to , so I don ' t know my younger cousins as well as the older ones . "
neutral, I see . who ' s the head of your household ? 
neutral," it ' s definitely my mother . And , her mother is definitely the matriarch of the bigger family . "
neutral, that ' s interesting . What does your grandfather think of your step-mother ? 
neutral," at first , she was quite critical of her , but now that they ' Ve been married for a few years , she ' s starting to accept the fact that my father divorced my mother . "
neutral," that ' s pretty much how you feel about your step-mother . Like grandmother , like grandson . "
neutral,I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ? 
neutral, Isn't there any coach to teach you how to ski ? 
neutral, Of course there is . The top-level coaches there are from the State Sports General Administration . 
neutral, Could you move smoothly ? 
neutral, Yes.My face even ached in the icy wind . 
neutral, What happened afterwards ? 
neutral, I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was . 
neutral, Poor girl ! 
neutral,"Hey , Maggy , Did you hear about David ? "
neutral," About David ? No , I didn ' t hear anything . "
neutral," You know , about David and his new boss . "
neutral," Sorry , I don ' t quite follow you . "
neutral," Well , I heard David has been fired . "
neutral," Oh , that is a shame . He is really hard working . "
neutral,how do you usually get to school ? 
neutral, I usually ride my bike . Which form of transport do you prefer to use ? 
neutral," I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car . "
neutral, I think we should discourage people from using their private cars . They produce too much pollution ! 
neutral," I agree , but I would find it difficult to stop using my car . It's just so convenient . "
neutral," cars might be convenient , but they're so bad for the environment . "
neutral, do you have a car ? 
neutral," no . I used to have one though . Once I started using my bicycle to get around , I found that I didn't really need it . "
neutral," maybe if I sold my car now , I wouldn't be so tempted to use it . "
neutral, you could try . It would save you a lot of money . 
neutral," that's true . Every month , I spend hundreds of dollars on gas , insurance , and repairs . "
neutral," if you got to class by riding a bicycle every day instead of driving , you will get lots of exercise , too ! "
neutral, I could stand to lose a few pounds . Having a car has made me lazy . I never end up walking anywhere ! 
neutral, let's go to a car dealership . I'll help you try to sell your car for a good price . 
neutral, sounds good ! Let's go ! 
neutral,What's wrong with him ? 
neutral, His nose is out of joint because we forgot to invite him to the party . 
neutral,"What are you going to do for one year abroad , Tom ? "
neutral," Study , study , study . I want to learn a lot . "
neutral, You are going to take courses ? 
neutral, Yes . I am going to take some university courses there . 
neutral, Sounds hard . 
neutral," Yes , but I think it's probably for the best . "
neutral, Won ' t you get lonely ? 
neutral," Hey , I am a pretty cool guy . I will make friends , and I'll have a lot of extracurricular activities too . You know , like fencing , or theater or something . "
neutral," Well , do you think I have to ? "
neutral, I do.We haven't watered them for quite a few days . 
neutral, Please look at the sky.Don ' t you see the dark clouds ? It's going to rain soon . 
neutral, But I don't think it's so nice . 
neutral, Why ? 
neutral, The weather report says it's going to rain for a whole week . 
neutral," Oh , I'm afraid all the flowers will die in the rain . "
neutral,"On , darn . The grocery store is closed . "
neutral," Yeah , this one closes at ten . We could drive to the 24 - hour store on sixth . "
neutral, Alright . We are out of everything . 
neutral, I wish the store close to us was open 24 - house a day . 
neutral," I know , our schedules are so weird . Sometimes , the little corner store is the only thing within walking distance that ' s open when we get home . "
neutral," Yeah , and the prices there are very high . "
neutral, I know . Three dollars for milk . 
neutral,Do you think they two will get married ? 
neutral, You can count on it . 
neutral," I think so.Yes , they get along so well . "
neutral,"Dad , where are we off to ? "
neutral, First we will go to the city centre and stop for something to drink . Then we will visit the University Museum . 
neutral, Where are we going to have a drink ? 
neutral, There is a coffee shop round the corner . Can you see that big building at the end of the road ? 
neutral, Yes ? 
neutral, That is a bank . The coffee shop is opposite the bank . 
neutral, Good . I will have hot chocolate . 
neutral, A stop ! Wait for the lights to turn green . 
neutral, When crossing the road you must always pay attention to what's around you . 
neutral, Sorry . How far is the museum ? 
neutral, I am not sure . We will ask for directions in the coffee shop . 
neutral, Here we are . You find us a table and I'll get the drinks . 
neutral," I am not sure about the name of the film , but I know it's a romantic one . "
neutral, Romantic ? I am afraid I like thrillers better . 
neutral, Don't you think it's too bloody ? 
neutral," On the contrary , very exciting . "
neutral,I feel so uncomfortable . 
neutral, Are you sick ? 
neutral, No . The teacher is dragging the chalk over the blackboard . It set my teeth on edge . 
neutral, He ' ll finish writing in a minute . 
neutral,I have made up my mind . I am getting a tattoo . 
neutral, Yeah ! Why not ? They are trendy and look great ! I want to get a dragon on my arm or maybe a tiger on my back . 
neutral," Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot ! "
neutral, Of course ! They use this machine with a needle that pokes your skin and inserts the ink . 
neutral," Oh , I didn ' t know that ! I thought they just paint it on your skin or something . "
neutral," I think you should reconsider and do some more research about tattoos . Also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic . "
neutral, Maybe I should just get a tongue piercing ! 
neutral,"Excuse me , what's the screen near your steering wheel for ? "
neutral, It's a portable TV . It's a popular thing now . 
neutral," Oh , that's new to me . So what's on everyday ? "
neutral," News about current affairs , documentaries , music , movies , noncommercial ads and so on . "
neutral, Is there anything interesting ? 
neutral," Yes , there are something good and informative . I think that many people underestimate the value of TV in education . "
neutral, I agree . Are there any commercials on the TV ? 
neutral, Of course . Because the TV stations need to make money from commercials between the programs . 
neutral, That makes a lot of sense . Does the TV work well ? 
neutral, Not always . It depends on the transmission of the satellite signals . 
neutral, I got it . Do you pay for the programs ? 
neutral," Yes , 50 Yuan per month . "
neutral, Look at the view from the window . 
neutral, It can ' t be helped . 
neutral,"What do you do in your free time , Nancy ? "
neutral," Well , I like playing the violin . "
neutral, Really ? How long have you been playing the violin ? 
neutral, About ten years so far . I started learning when I was in middle school . 
neutral,How can I tell her about this ? 
neutral," Don't worry , you'll find a way . "
neutral, There is no need to be so frustrated . 
neutral, How can you live without job in the future ? 
neutral," Don't worry , you'll find a way . "
neutral,What sports do you like to play ? 
neutral, I like baseball and basketball . 
neutral, How about football ? 
neutral," In my country football is brand new , so I never learned the game when I was younger . "
neutral, It's a very popular game in America . 
neutral, Yeah . I heard a lot about it . Is it really that fun ? 
neutral," For me , it's one of those games that are fun to both watch and play . "
neutral, Are you a football player ? 
neutral," No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football . "
neutral, What is two hand touch and flag football ? 
neutral," Instead of tackling somebody , you just have to touch them with two hands , or if it is flag football , grab the flag that the ball carrier is wearing . "
neutral, I see . It's safer then right ? 
neutral,What upsets you ? 
neutral, It is not your mother finding one for you ? 
neutral," I will find one myself , of course . I ' m a modern girl . "
neutral," Perhaps you can try the three minutes date , the latest type . "
neutral," No , there is an updated virgin , three minutes video date . I know an online dating website providing such service with a microphone and webcam , you can sigh for it . You can be face-to-face with a guy talking for maximum three minutes . "
neutral, I don ' t think it makes sense . Three minutes is such a short time . 
neutral," I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight . "
neutral," Don ' t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher . "
neutral,Are you going to the party on Saturday ? 
neutral, I was thinking about it . Are you ? 
neutral, It starts at 8 
neutral," Well , who all is going to be there ? "
neutral, Everyone from school . 
neutral, How do you know it's going to be so fun ? 
neutral,Could you talk to me for a few minutes about my grades ? 
neutral, Step into my office for a moment . What is your concern ? 
neutral, Am I failing ? 
neutral, Let's go on the computer to see what's up . Do you think you are doing well ? 
neutral," I can see that you are trying , but where do you think you could improve ? "
neutral, I missed a few classes ; I need to make sure I come to school on a regular basis . 
neutral," Having a regular study routine and following it is very important , right ? "
neutral, I'll try ; it's hard ! 
neutral, Thanks for stopping by ! 
neutral, What happened ? Quarrel again ? 
neutral, Don't ask me . I don't wanna be involved in your quarrel . 
neutral, What is it ? Why did you buy a brick ? 
neutral, And ? 
neutral, So he said he'd sell me one for twenty dollars . A four-hundred-dollar camera for twenty bucks . 
neutral, And it's a brick ? 
neutral, Yes . 
neutral," I wanted to . But he said , no , the box is still in its plastic wrap from the store.If it's opened , other people won't believe it's new . "
neutral, So he had the boxes wrapped in plastic . 
neutral," Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new . "
neutral, But why would a guy be selling new video cameras for twenty dollars ? 
neutral, He said he had to get rid of them . They were stolen . 
neutral," Aha ! Now I understand.You were trying to buy stolen goods on the sidewalk.So , what I think is , you deserve to get cheated ! "
neutral," C'mon , don't blame me ! I thought it was a new camera . We could use it.We were even thinking about buying a camera . I don't understand how he could have such a perfect-looking box . "
neutral, That's no problem.He just has a friend who works in a shop that can do plastic wrap . That's easy.And probably it's the same shop he got the boxes from.Maybe his friend works in an electronics store . They sell video cameras there.Probably they had a couple video camera boxes lying around.So they get the idea of wrapping bricks to sell to fools like you.Twenty dollars a brick . That's a good profit if they can sell enough bricks . 
neutral," You're right , Sarah . I was a fool . I can't believe it . How could I fall for such a trick ? "
neutral,Is the clock right ? 
neutral, I'm afraid it gains a little . 
neutral, By how many minutes ? 
neutral, Two . 
neutral,"Hey , Mary , what's up ? "
neutral," Just so so . Last night I met this great guy at the bar and we had such a wonderful time , so we decided to meet again tonight . "
neutral," Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . "
neutral," There's nothing definite I think . I don't have a list or anything , but when I first meet somebody , I can usually tell whether or not that person is going to be a good friend . It seems I have radar helping me spot new friends . "
neutral, I agree . You can't expect a close relationship with a dishonest person . Those are the people that will turn their back on you when you are in need . 
neutral," Yeah , I know . A friend in need is a friend indeed . I don't need fair-weather friends either . "
neutral,What ' s up ? You don ' t look too good . 
neutral," I liked physics . It ' s all math , really . arcs , curves , velocity , cool stuff . "
neutral," Yeah , yeah , but today ' s lesson was all about the creation of the universe . "
neutral, A physics class about the creation of the universe ? That ' s some pretty unscientific language there . Sounds more religious to me . 
neutral, It ' s all religion . Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion ? That ' s no better than Atlas carrying the globe on his back or African myths about turtles and stuff . 
neutral," Turtles ? Whatever ... Look , all that ' s required for the creation of matter an imbalance of particles and anti-particles . At least , that ' s what the math says . "
neutral," Math , sheath . What ' s the evidence ? "
neutral," There is evidence ! You know Edwin Hubble ? He ' s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH ! "
neutral," Anyway , it ' s just a theory . Why do people go around touting theories ? Where ' s the scientific rigor in that ? "
neutral," Dude , don ' t equivocate . A theory only becomes a theory after withstanding rigorous testing . You slept through class , didn ' t you ? "
neutral,Today more and more people advocate lifelong learning . But people have different views about lifelong learning . How do you understand lifelong learning ? 
neutral, I think lifelong learning is the concept that it's never too soon or too late for learning 
neutral, Does that mean studying all the time ? 
neutral," I don't think so . I think it's about your attitude towards learning . One should be open to new ideas , decisions , skills or behaviors . "
neutral, Then the axiom - ' You can't teach an old dog new tricks ' doesn't work any longer . 
neutral, You're right . Lifelong learning is about finding learning opportunities at all ages and in numerous contexts 
neutral," Yes , I agree with you . When I retired I will participate in programs to keep momentally active . "
neutral," Me too . To keep up with the changing world , one must be involved in lifelong learning and be ready to accept new things . "
neutral, You know what ? I've recently been teaching myself French . 
neutral," Yes , so I want to learn French to develop my career . "
neutral,How old are you ? 
neutral, Nine ... but I'll be ten on May 1st.When is your birthday ? 
neutral, I'm older than you ! I'll be ten on April 14th . 
neutral, Are you going to have a birthday party ? 
neutral, Maybe . I'll have to ask my mother . 
neutral, Hi honey ! What ' s wrong ? Why do you have that look on your face ? 
neutral, No ! I said I was going to cut down which is very different . You can ' t just expect me to go cold turkey overnight ! 
neutral," I know , I know . I am trying but , I don ' t have the willpower to just quit . I can ' t fight with the urge to reach for my pack of smokes in the morning with coffee or after lunch ! Please understand ? "
neutral,Why are you shivering ? 
neutral, It's freezing . 
neutral,It seems that you get antsy when you hear I praise another guy . 
neutral, How come you think of him that way ? 
neutral, I have no reason to distrust him . He's never caused any harm . 
neutral, Nothing smells a rat . I told you that he's an all-right guy . 
neutral,Have you signed up to join the company ' s Christmas party ? 
neutral," Sure , I have . Will you join ? "
neutral," I will . You know , as a newcomer , I think it might be a good opportunity to get to know people from the other departments of our company in a more relaxed atmosphere . "
neutral, You are right . Our company ' s Christmas party has always been an amazing occasion for everybody to relax and get to know each other better . It is also a time to make new friends and do some networking . 
neutral, I hope that it is not a formal one when the boss is there . 
neutral," No , it will not be formal at all . It is a fun time . You will love the game show . Please dress casually . Usually there is an over abandon of drinks , so be careful with that . "
neutral," Don ' t worry , I can handle that . And I know if the boss is there , even it is an informal evening , it does not make a good impression to get totally drunk in front of him . "
neutral,"If the weatherman's predictions are accurate , it should rain tomorrow . "
neutral, I hope not . Then we'd have to reschedule our baseball game . 
neutral,"hi , Emily , do you know that guy over there ? "
neutral," The tall one ? Sure , that's Drive , he works with Lily . "
neutral, He is cute.What dose he do ? 
neutral," I'm not sure , he is a manager I think . "
neutral," Well , he has already taken you know , that's his wife right there . "
neutral,You didn't ring me last night . You said you would . 
neutral, That's all right . But why were you so rude to me at lunch . 
neutral, And why are you yarning now ? Are you bored ? 
neutral, Forgive me darling . I'm very tired . 
neutral,"Hi , Nicole . Did you have a good weekend ? "
neutral," Yes , I did . But I feel tired today . "
neutral," Well , on Saturday I cleaned the house and played tennis . Then on Sunday I hiked in the country . "
neutral," And I bet you studied , too . "
neutral, Yeah . I studied on Sunday evening . What about you ? 
neutral," Well , I didn't clean the house and I didn't study . I stayed in bed and watched TV . "
neutral, Sort of . I played golf on my computer ! 
neutral,There will be a parade to celebrate National Day this weekend . 
neutral, What's the route ? 
neutral, From Zhongshan Circus to City Bank . 
neutral, If only I could join it ! 
neutral,Excuse me . I'm afraid you're in my seat . You've moved my books . 
neutral, You must have realized somebody was here . 
neutral," Oh , well , I looked around . There wasn't any other space . I waited a while and nobody came . I'm sorry if I've taken your place . "
neutral,What ' s the life expectancy in your country ? 
neutral," I ' m not sure , but probably about 75 years . How about in your country ? "
neutral," About 70 , I think . This newspaper article talks about the problems of an aging population . It ' s a problem that will soon affect most of the world . "
neutral," I heard that the government might need to increase the retirement age , because otherwise there will not be enough workers to support the young and the elderly . "
neutral, Perhaps we need to have more babies ! Tina gave birth to a baby boy yesterday . 
neutral, How ' s your son these days ? 
neutral," Oh , he ' s fine . Kids seem to grow up very quickly nowadays . "
neutral, He ' ll be a teenager before you know it ! Teenagers are often rebellious ! When do you mine it is a good age to have a child ? 
neutral," I had mine when I was 24 . that ' s a little young . I ' d suggest you wait until you are in your late twenties . , or even in your early thirties if you have a good career . "
neutral," Yes , I think you ' re right . I ' m thinking about having a child , but not just yet . "
neutral, Is there a big generation gap between parents and their children in you country ? 
neutral," Yes , there is . Teenagers do not want to live traditional lives . They want to go out , have fun , and explore the world . They want to develop their own view of life . Parents usually try to discourage them , but they don ' t often succeed . "
neutral, Parents usually give their children more freedom in my country . Sometimes they give them too much freedom . 
neutral," It ' s almost impossible to get the right balance . If you are too strict , kids might ignore you . If you are too lenient , they might go wild . "
neutral,Could I see the manager please ? I have a complaint to make . 
neutral," Yes , I ' m the manager here . What can I do for you , Madam ? "
neutral, Did you have the room checked before we move in ? 
neutral, Which room are you in ? 
neutral," 1808 . The toilet doesn ' t work properly , the water doesn ' t run in the shower . "
neutral, I ' m awfully sorry to hear that . I ' ll turn to it right away . 
neutral, Not only that ! 
neutral, Tell me ! Tell me ! What's your secret ? ! 
neutral," OK , OK . I'll whisper it to you , but you have to promise not to tell anyone ! "
neutral,We are going to the concert this evening . Will you join us . 
neutral, I'm very sorry I can't . 
neutral, Why not ? 
neutral, I've been snowed under with since my bosses away on business . 
neutral,"You'v been work here for nearly a month , how do you feel about the job ? "
neutral," Not bad.Thank you for your help . I am always busy with this job , I feel a bit tired . "
neutral," I had the same feeling when I first came to work here . but after a period of time , I feel better , I am sure you ' ll get used to this busy job . "
neutral," I also feel that work efficiency here is very high . and you have strong working ability and professional skill , it seems that you know all , that's really wonderful ! "
neutral," You know the phrase , the survival the fittest . We have no choices . "
neutral," That's right , I have to work hard . "
neutral,The music is on.May I have the pleasure to dance with you ? 
neutral," Sorry , I'm engaged for the foxtrot.Will the next Walls be all right ? "
neutral, Certainly . 
neutral,"Excuse me , is this seat taken ? "
neutral," No , please feel free . "
neutral, Do you work in Shanghai ? 
neutral, Yes I do . How about you ? 
neutral," No , I'm a tourist . This place is amazing ! It's much bigger than I imagined , and much more exciting ! There's so much to see here . "
